Player,Position,Team,Games Started,At-Bat,Hit,Double,Triple,Home runs,Runs Batted In,Batting Average,On-Base-Percentage,Slugging Percentage,On Base Plus Slugging,Wins Above Replacement,Salary 2023,Age
Edmundo Sosa,SS,PHI,45,176,40,11,4,2,21,0.227,0.275,0.369,0.644,0.59,950000.00,26
Yu-Cheng Chang,SS,BOS,49,168,35,6,0,4,15,0.208,0.29,0.315,0.605,-0.25,850000.00,26
Paul DeJong,SS,STL,58,210,33,9,0,6,25,0.157,0.245,0.286,0.53,0.33,9000000.00,28
Tucupita Marcano,SS,PIT,44,160,33,6,2,2,13,0.206,0.256,0.306,0.562,-0.69,654193.00,22
Zach McKinstry,SS,CHC,42,166,33,6,3,5,14,0.199,0.273,0.361,0.635,0.1,734500.00,27
Alan Trejo,SS,COL,31,118,32,6,0,4,17,0.271,0.312,0.424,0.736,0.18,632766.00,26
Gunnar Henderson,SS,BAL,30,116,30,7,1,4,18,0.259,0.349,0.44,0.788,0.91,723200.00,21
Spencer Steer,SS,CIN,27,95,20,5,0,2,8,0.211,0.306,0.326,0.632,0.13,720000.00,24
Nick Ahmed,SS,ARI,15,52,12,2,0,3,7,0.231,0.259,0.442,0.702,-0.06,10250000.00,32
David Hensley,SS,HOU,7,29,10,2,1,1,5,0.345,0.441,0.586,1.027,0.15,536130.00,26
Gabriel Arias,SS,CLE,14,47,9,1,1,1,5,0.192,0.321,0.319,0.641,0.18,720100.00,22
Ezequiel Tovar,SS,COL,9,33,7,1,0,1,2,0.212,0.257,0.333,0.59,-0.41,722000.00,20
